  0.6698469845324053E+05   0.1965638606426517E+05   0.1400059940716845E+05   0.1954108335279220E+05   0.2423799008049868E+05   0.1849457487003257E+05   0.1253160322271023E+05   0.1172350527751505E+05   0.1631535627311643E+05   0.2007205160188326E+05   0.1585221365238357E+05   0.1147239004669449E+05   0.1388487183575697E+05   0.2520525714718101E+05   0.3958061841090935E+05   0.2738274581288601E+05   0.1580536253109209E+05   0.2025633793013683E+05   0.7408577874041369E+05   0.5367071504656957E+06   0.6286092168488012E+05   0.1859280843750282E+05   0.1290100491202945E+05   0.1788338327513720E+05   0.2298964891078189E+05   0.1745073103894859E+05   0.1119509663744728E+05   0.1015405491916815E+05   0.1438839769654992E+05   0.1802915109944795E+05   0.1414908138252447E+05   0.1025079110896467E+05   0.1308513032340465E+05   0.2611322889519118E+05   0.4246168038483907E+05   0.2768204339822110E+05   0.1524440583187108E+05   0.1874717781980865E+05   0.6564270702137944E+05   0.5826076493542083E+06   0.5825313369351751E+05   0.1711604948441441E+05   0.1217223453090217E+05   0.1775936269903062E+05   0.2365544046136077E+05   0.1726481074197836E+05   0.1036053682994974E+05   0.9165640981858680E+04   0.1318960989566377E+05   0.1683473424475765E+05   0.1297122609021003E+05   0.9197794130386346E+04   0.1191860202483982E+05   0.2576276599847074E+05   0.4364313223115917E+05   0.2656360024399098E+05   0.1350387613487785E+05   0.1575503085000461E+05   0.5322686111663537E+05   0.5646517934495852E+06   0.4855796779956840E+05   0.1409333457346101E+05   0.1042964650740667E+05   0.1607163594386822E+05   0.2177797234702799E+05   0.1524933708022330E+05   0.8686807833821762E+04   0.7574038786526055E+04   0.1100689324383996E+05   0.1419631333587906E+05
  0.4723107832741266E+05   0.1771392972050811E+05   0.1321718952745409E+05   0.1787905793867901E+05   0.2182648639375414E+05   0.1718369780901710E+05   0.1202397942452970E+05   0.1175224189959012E+05   0.1640098541526247E+05   0.2012459661393572E+05   0.1598293925004158E+05   0.1178325399725349E+05   0.1524238237270341E+05   0.3291161356783407E+05   0.6487636302331275E+05   0.3779111340586818E+05   0.1745905092088182E+05   0.1912142573039487E+05   0.5478858603359298E+05   0.1392108788154591E+06   0.4526420274070566E+05   0.1658354688482664E+05   0.1179874960795669E+05   0.1582554635172796E+05   0.1991768853517122E+05   0.1560224425132612E+05   0.1049390132290319E+05   0.1016517993101254E+05   0.1466567800230049E+05   0.1840914831390826E+05   0.1445147522180765E+05   0.1063425387646059E+05   0.1436884238113660E+05   0.3387554097877560E+05   0.6938649255985096E+05   0.3713142727314468E+05   0.1662207498057120E+05   0.1784388457084106E+05   0.5102541172135997E+05   0.1492959593576458E+06   0.4489116324402570E+05   0.1537940751230496E+05   0.1091914284881104E+05   0.1519452061284848E+05   0.1968822777769626E+05   0.1493806008116944E+05   0.9582307789610370E+04   0.9180336177393954E+04   0.1360511262216401E+05   0.1749083972762859E+05   0.1341689641531175E+05   0.9541056154505502E+04   0.1289968624248928E+05   0.3296591341863017E+05   0.7122975599566585E+05   0.3435871320604513E+05   0.1444452961712815E+05   0.1512770355951128E+05   0.4381612367670961E+05   0.1462269817113521E+06   0.3984722845754284E+05   0.1281340585972292E+05   0.9287647164461094E+04   0.1348458955537584E+05   0.1770577661882261E+05   0.1296139971059626E+05   0.7993467739711467E+04   0.7577875116787073E+04   0.1139914653946760E+05   0.1486676294011443E+05
  0.3375857407460373E+05   0.1588890732405630E+05   0.1269150465568174E+05   0.1717667009866349E+05   0.2094986924281792E+05   0.1658387492636808E+05   0.1172316564834137E+05   0.1192354935570851E+05   0.1686862365426977E+05   0.2089529755620463E+05   0.1660621262347836E+05   0.1227641731509539E+05   0.1691020948367542E+05   0.4542135239923571E+05   0.1378783530707560E+06   0.5455378685467068E+05   0.1902211136141212E+05   0.1737102909544038E+05   0.3768653638163670E+05   0.6466539814816554E+05   0.3242335626803607E+05   0.1460937168614989E+05   0.1099286954925608E+05   0.1476863988879541E+05   0.1847259015693962E+05   0.1459409407764900E+05   0.1006559639553391E+05   0.1036961762556828E+05   0.1542428321079107E+05   0.1966982799692572E+05   0.1537361455883982E+05   0.1126371453041197E+05   0.1580952175739661E+05   0.4486279478478243E+05   0.1455599791129078E+06   0.5108979449941476E+05   0.1778723078697479E+05   0.1639561709671299E+05   0.3682277225559203E+05   0.6965424717941554E+05   0.3320336816714405E+05   0.1361231840589400E+05   0.9979874234640713E+04   0.1372692761462446E+05   0.1758547481872218E+05   0.1356775218718552E+05   0.9076889813570078E+04   0.9393668845502985E+04   0.1457830997543251E+05   0.1916751480476025E+05   0.1454685534621982E+05   0.1014282141758282E+05   0.1389996013855699E+05   0.4182946205674812E+05   0.1480401973943248E+06   0.4451307799479007E+05   0.1512274004339677E+05   0.1408028009797551E+05   0.3327131276261438E+05   0.6821599054519612E+05   0.3037127975599603E+05   0.1147905939028989E+05   0.8420573222573423E+04   0.1192740336988369E+05   0.1544326050405959E+05   0.1156566662741843E+05   0.7516707682039764E+04   0.7741655870575039E+04   0.1230185604329983E+05   0.1647357002006349E+05
  0.2581467298345088E+05   0.1446399376190324E+05   0.1233347838006143E+05   0.1694023943949384E+05   0.2077673054707583E+05   0.1635121834606183E+05   0.1156558624556882E+05   0.1228020895080772E+05   0.1803863476611896E+05   0.2315346652857042E+05   0.1815413109475710E+05   0.1303818447867498E+05   0.1860831657826575E+05   0.6296126681004130E+05   0.5101601710402889E+06   0.7329520786297790E+05   0.1989180159269025E+05   0.1553923051895352E+05   0.2704253006121838E+05   0.3895850639756711E+05   0.2437211314202702E+05   0.1296049143703856E+05   0.1042809116113757E+05   0.1428318291987901E+05   0.1786844566316587E+05   0.1407588179858915E+05   0.9842801443939330E+04   0.1080518676625827E+05   0.1696974215032384E+05   0.2252303626254612E+05   0.1728171950233175E+05   0.1218377219818867E+05   0.1718333148942593E+05   0.5755001158942375E+05   0.5532879651454432E+06   0.6535150605483433E+05   0.1830617522182871E+05   0.1475627558854630E+05   0.2706497457278421E+05   0.4163783751725980E+05   0.2494479088345460E+05   0.1204245544305422E+05   0.9331597684406319E+04   0.1295693396748710E+05   0.1653361579194415E+05   0.1280826757766988E+05   0.8790752423487864E+04   0.9825114589188201E+04   0.1638715603926842E+05   0.2253735321300758E+05   0.1666087842531128E+05   0.1100891303594828E+05   0.1478411572199252E+05   0.4941698518008941E+05   0.5565984443926977E+06   0.5339628254740891E+05   0.1529057200540199E+05   0.1280163992470531E+05   0.2509207556864380E+05   0.4046233876590330E+05   0.2295069209686626E+05   0.1023151355527132E+05   0.7826861684119635E+04   0.1105635364361842E+05   0.1424027470056958E+05   0.1076832888877461E+05   0.7223097332700640E+04   0.8067734126346114E+04   0.1392817350737903E+05   0.1956338384094677E+05
  0.2135829750219690E+05   0.1347132968606461E+05   0.1214937652570670E+05   0.1684748150236724E+05   0.2073984681785984E+05   0.1626043643689210E+05   0.1153370370821921E+05   0.1285665331005718E+05   0.2036797194182167E+05   0.2817248656024296E+05   0.2127915455700317E+05   0.1410434955978639E+05   0.1981264937186407E+05   0.7801787125034214E+05   0.1738965561262967E+13   0.7658314383136320E+05   0.1951761036911467E+05   0.1390481091258566E+05   0.2091280879620474E+05   0.2764979274679408E+05   0.1955273345297849E+05   0.1171350979888979E+05   0.1009512177817767E+05   0.1409243626429708E+05   0.1760909778932656E+05   0.1383629643955452E+05   0.9800323214432594E+04   0.1147448453950081E+05   0.1968982857329215E+05   0.2818461110093648E+05   0.2069039336786440E+05   0.1335507345232350E+05   0.1813841115121400E+05   0.6741729023285597E+05   0.1833023584885155E+13   0.6679436440151313E+05   0.1780055514578349E+05   0.1313719700359041E+05   0.2081295688389735E+05   0.2882457865919313E+05   0.1957550349095297E+05   0.1076956893113312E+05   0.8946002887401608E+04   0.1264214984637809E+05   0.1606370455816322E+05   0.1246280428190839E+05   0.8701132548183416E+04   0.1044952246046042E+05   0.1935176366920198E+05   0.2881156804417793E+05   0.2013859137625661E+05   0.1205018155181655E+05   0.1538523959155257E+05   0.5400943440208190E+05   0.1539807879893409E+13   0.5318692222624930E+05   0.1475252371436369E+05   0.1143160886812054E+05   0.1932577049243502E+05   0.2756649008805918E+05   0.1785172660442162E+05   0.9163382646553133E+04   0.7471924825285443E+04   0.1067668665266630E+05   0.1368805057320269E+05   0.1040602321474437E+05   0.7098101108090882E+04   0.8521205202655419E+04   0.1650741053939352E+05   0.2516310877880705E+05
  0.1893958886923494E+05   0.1283156424793001E+05   0.1207483829494351E+05   0.1678168607508364E+05   0.2061384952321870E+05   0.1621241443502452E+05   0.1162145877103113E+05   0.1375425682202982E+05   0.2461609887692169E+05   0.3888142390730200E+05   0.2709766787632134E+05   0.1552353020848173E+05   0.1992521002676534E+05   0.7403415025867635E+05   0.5172235072307005E+06   0.6092805642135537E+05   0.1800223127991387E+05   0.1258617123555042E+05   0.1743996079621607E+05   0.2210721824846612E+05   0.1672724193512128E+05   0.1084548131029486E+05   0.9930549751046827E+04   0.1405967663171726E+05   0.1755154846102463E+05   0.1378185779510371E+05   0.9934817779990208E+04   0.1242785290655276E+05   0.2419070936273569E+05   0.3944089770431708E+05   0.2642236175565752E+05   0.1472373126082148E+05   0.1825306864734936E+05   0.6493953337491953E+05   0.5430756889926028E+06   0.5531760860572814E+05   0.1640654877457375E+05   0.1168595567809458E+05   0.1688902368308122E+05   0.2219590137334274E+05   0.1620051950097073E+05   0.9820962745752551E+04   0.8761107964434103E+04   0.1262660942592250E+05   0.1608397047519126E+05   0.1243515379764977E+05   0.8808923589131551E+04   0.1127052939478014E+05   0.2393178734807889E+05   0.4077944284894143E+05   0.2547377263457748E+05   0.1314414764895028E+05   0.1546197377430721E+05   0.5293255349124523E+05   0.5339396513830858E+06   0.4640965253548746E+05   0.1365458895893536E+05   0.1011687258031558E+05   0.1545597329818233E+05   0.2074470290808526E+05   0.1451835528716226E+05   0.8323899621892137E+04   0.7303160421895240E+04   0.1064144842023680E+05   0.1372315430710712E+05   0.1038948026880240E+05   0.7145212802476598E+04   0.9082792985580272E+04   0.2034652211033494E+05   0.3565595050221225E+05
  0.1771282562560443E+05   0.1239396054008480E+05   0.1211768983687209E+05   0.1684085538317168E+05   0.2063513234147856E+05   0.1633175733771435E+05   0.1188949671567205E+05   0.1502426728982725E+05   0.3204689493864133E+05   0.6376132059639876E+05   0.3748103819373325E+05   0.1718574261669762E+05   0.1885139060554177E+05   0.5450003997092367E+05   0.1345375627437860E+06   0.4319145355417999E+05   0.1601385200245311E+05   0.1156656321641406E+05   0.1554303468396781E+05   0.1935864223482904E+05   0.1513058688162407E+05   0.1023193656037647E+05   0.9932427728287117E+04   0.1426152092877544E+05   0.1783291574794270E+05   0.1404223569859647E+05   0.1029857904023197E+05   0.1365592571170407E+05   0.3131110588352252E+05   0.6434527605773871E+05   0.3579792899019941E+05   0.1614711176875221E+05   0.1740575960366240E+05   0.4992972586305173E+05   0.1384252881907741E+06   0.4168624619551365E+05   0.1463400894204608E+05   0.1048735922414465E+05   0.1451528594774136E+05   0.1862663692293111E+05   0.1414523033761581E+05   0.9118809975583727E+04   0.8761858597825205E+04   0.1297102662964667E+05   0.1664927432370381E+05   0.1284733125228312E+05   0.9155654415458008E+04   0.1223501508557660E+05   0.3055975093353522E+05   0.6647507256702380E+05   0.3328495269321004E+05   0.1414649031555678E+05   0.1487854672260783E+05   0.4314098724090590E+05   0.1374530933688507E+06   0.3742404530303848E+05   0.1231853914913358E+05   0.8992446623067897E+04   0.1298795439367439E+05   0.1694144493320178E+05   0.1241068760922369E+05   0.7676531959776628E+04   0.7297756590046046E+04   0.1099267784651750E+05   0.1434628897605304E+05   0.1081134181677809E+05   0.7391611581085778E+04   0.9689850140978810E+04   0.2559916563037596E+05   0.5789299541995527E+05
  0.1716942626189327E+05   0.1212751571202121E+05   0.1227815994469961E+05   0.1725892410831961E+05   0.2134891239148952E+05   0.1691758765130206E+05   0.1232684857294712E+05   0.1664259625058542E+05   0.4444068492465444E+05   0.1357988567013683E+06   0.5431516284861905E+05   0.1875943069395692E+05   0.1711802988939067E+05   0.3725568157341862E+05   0.6235102178722755E+05   0.3082367574340257E+05   0.1412292821913846E+05   0.1083352233730416E+05   0.1459708894483673E+05   0.1811699402550908E+05   0.1428274618909657E+05   0.9860079838104262E+04   0.1010355515278101E+05   0.1488294191887808E+05   0.1890357122643143E+05   0.1486980353215952E+05   0.1089423883764650E+05   0.1510040168474461E+05   0.4181721476003322E+05   0.1351513906393704E+06   0.4996068742465906E+05   0.1735235943510034E+05   0.1595331976232077E+05   0.3552355564084397E+05   0.6454306853427528E+05   0.3065324826493332E+05   0.1289950888989193E+05   0.9595690980106667E+04   0.1317494060162345E+05   0.1676322952302312E+05   0.1294799103411174E+05   0.8669199546883488E+04   0.8945234970736357E+04   0.1381332901013965E+05   0.1814610117264634E+05   0.1390015878317923E+05   0.9753087762114281E+04   0.1327313620406122E+05   0.3897108440002849E+05   0.1382477731722958E+06   0.4374213007261785E+05   0.1487245878776515E+05   0.1381652068843939E+05   0.3233875335770769E+05   0.6414375148939205E+05   0.2843940888588708E+05   0.1098187149820680E+05   0.8142800407121147E+04   0.1151119822146531E+05   0.1484012195152248E+05   0.1113105431312626E+05   0.7236713881015655E+04   0.7445415758778507E+04   0.1181947334589431E+05   0.1585696721777270E+05   0.1180772963306378E+05   0.7847511162976697E+04   0.1028432792990741E+05   0.3150947464384222E+05   0.1193307527284269E+06
  0.1697246115462286E+05   0.1197685911846545E+05   0.1259441536536488E+05   0.1835344096512657E+05   0.2353985843765668E+05   0.1841274869975260E+05   0.1302740703836936E+05   0.1835587570137944E+05   0.6248600017212205E+05   0.4970944427267942E+06   0.7325065602268750E+05   0.1961740573224102E+05   0.1529944730811381E+05   0.2663916469476988E+05   0.3760940967629076E+05   0.2328768075250668E+05   0.1258993237299132E+05   0.1032277140923833E+05   0.1417406446250687E+05   0.1763050826985973E+05   0.1385794919004455E+05   0.9667118512246458E+04   0.1048121329583214E+05   0.1621025052940554E+05   0.2144420579569053E+05   0.1663091185688780E+05   0.1177633270370400E+05   0.1655886660942529E+05   0.5509909738674462E+05   0.5142825063468813E+06   0.6464875855243792E+05   0.1786621021738363E+05   0.1429947822210645E+05   0.2586812042087356E+05   0.3868704454029517E+05   0.2310461691273780E+05   0.1140742714140922E+05   0.8979581447969600E+04   0.1247756805757745E+05   0.1584685384318623E+05   0.1229024923928616E+05   0.8420224069816650E+04   0.9332429814043344E+04   0.1541238138819515E+05   0.2121008313003450E+05   0.1589299669319394E+05   0.1061589735441935E+05   0.1426391092252904E+05   0.4708326118958072E+05   0.5225956155535381E+06   0.5308331078828307E+05   0.1503735065007884E+05   0.1250694191601873E+05   0.2418106502742772E+05   0.3812935446993544E+05   0.2155164667303326E+05   0.9770180709157976E+04   0.7560272688393057E+04   0.1068752072771992E+05   0.1372956863975825E+05   0.1040361542337510E+05   0.6971112365047167E+04   0.7750322815366262E+04   0.1332438974754177E+05   0.1878203029690700E+05   0.1359372141637343E+05   0.8501586058390692E+04   0.1081402193979263E+05   0.3555133822977523E+05   0.4418501553598072E+06
  0.1690387085706813E+05   0.1193161819870742E+05   0.1310727101702614E+05   0.2059228469420870E+05   0.2851276440308009E+05   0.2149077152441383E+05   0.1404776895677057E+05   0.1963314658110123E+05   0.7852611861743771E+05   0.1723769838687092E+13   0.7650083224742216E+05   0.1920735111447625E+05   0.1370463369022035E+05   0.2062928078110524E+05   0.2685578837091486E+05   0.1887370674361794E+05   0.1146211657387770E+05   0.1002440741203086E+05   0.1400059645086610E+05   0.1742133632149749E+05   0.1366116755353268E+05   0.9633802371529451E+04   0.1107732834334482E+05   0.1861688053324084E+05   0.2660603039957871E+05   0.1985561371463642E+05   0.1292775353844166E+05   0.1765235146645490E+05   0.6665971333277388E+05   0.1855891293087248E+13   0.6580543860159426E+05   0.1729597194919808E+05   0.1269223505400012E+05   0.1984496211473101E+05   0.2694412782868492E+05   0.1827578487992279E+05   0.1022791869801621E+05   0.8611072579966336E+04   0.1218569018760718E+05   0.1543513288790620E+05   0.1199219083142470E+05   0.8352987990966914E+04   0.9906349485697441E+04   0.1806922538811023E+05   0.2697434922702656E+05   0.1921969731412730E+05   0.1167102040646135E+05   0.1501133613558602E+05   0.5330641113794383E+05   0.1590507869528619E+13   0.5250340061465037E+05   0.1443126246693065E+05   0.1112179041578359E+05   0.1855988749312110E+05   0.2607089847040750E+05   0.1685154855561419E+05   0.8754363346278116E+04   0.7209992000151527E+04   0.1032417584628842E+05   0.1321920436872933E+05   0.1007634882349559E+05   0.6867193527770392E+04   0.8182210475019078E+04   0.1572478491722144E+05   0.2410483139648118E+05   0.1642725629988195E+05   0.9266969959643300E+04   0.1121256344075631E+05   0.3782241680016735E+05   0.1102697858776083E+13
