 320.00
 V         0.06420323       0.05834945       0.06036602
 V         0.06417881       0.05834423       0.06038519
 V         0.06419542       0.05835736       0.06038057
 V         0.06417130       0.05835203       0.06039954
 O         0.07199021       0.07591141       0.07681341
 O         0.07199579       0.07592985       0.07683101
 O         0.07197306       0.07591283       0.07679249
 O         0.07197846       0.07593129       0.07681014
 O         0.07413595       0.07486038       0.07650344
 O         0.07415818       0.07486441       0.07648433
 O         0.07414888       0.07485850       0.07651577
 O         0.07417099       0.07486245       0.07649666
