   0.00
 Pd        0.03639129       0.03565801       0.05603182
 Pd        0.03639120       0.03565790       0.05603098
 Pd        0.03639121       0.03565787       0.05603268
 Pd        0.03639117       0.03565803       0.05603194
 Se        0.04185409       0.04034502       0.04893013
 Se        0.04185374       0.04034468       0.04893118
 Se        0.04185385       0.04034504       0.04893072
 Se        0.04185351       0.04034471       0.04893175
 Se        0.04185407       0.04034498       0.04893016
 Se        0.04185372       0.04034465       0.04893120
 Se        0.04185379       0.04034477       0.04893069
 Se        0.04185345       0.04034444       0.04893173
