  0.1139913062475013E+06   0.5737260459387205E+05   0.6987919607075817E+04   0.7585768447035266E+03   0.4430777743670207E+03   0.3306966802722126E+03   0.2268048888946816E+03   0.1163140951582173E+03   0.5078453920435227E+02   0.1230238671816567E+02   0.5395899169679653E+01   0.1464224769803990E+01   0.1216578222554276E+01   0.1437780005129208E+00   0.1105208510472865E-02   0.1000000275083406E-02   0.9999999747378773E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378780E-03   0.9999999747378812E-03   0.9999999747378888E-03   0.9999999759636171E-03   0.1000070992260680E-02   0.1015136997906326E-02   0.1084137665553144E-02   0.1039653901234495E-02   0.1000284405449161E-02   0.9999999833082474E-03   0.9999999747429145E-03   0.9999999747480747E-03   0.9999999747583581E-03   0.9999999747786863E-03   0.9999999748185452E-03   0.9999999748960744E-03   0.9999999750456615E-03   0.9999999753319585E-03   0.9999999758755007E-03   0.9999999768991478E-03   0.9999999788116152E-03   0.9999999823569221E-03   0.9999999888820619E-03   0.1000000000825057E-02   0.1000000022653707E-02   0.1000000062880541E-02   0.1000000139116362E-02   0.1000000292684200E-02   0.1000000634241033E-02   0.1000001487633715E-02   0.1000003829078858E-02   0.1000010556337779E-02   0.1000029919209756E-02   0.1000084128226370E-02   0.1000229293178085E-02   0.1000597779689160E-02   0.1001480084293941E-02   0.1003467159583547E-02   0.1007668598630819E-02   0.1015996627680997E-02   0.1031451515109580E-02   0.1058264460717731E-02   0.1101678805674179E-02   0.1167139062682479E-02   0.1218779627633434E-02   0.1267392056568979E-02   0.1338435481799888E-02   0.1420956313901276E-02   0.1528266218343484E-02   0.1600750746906256E-02   0.1670343671735087E-02   0.1685365938352477E-02   0.1654053899933392E-02   0.1595468606716775E-02   0.1527474642524227E-02   0.1452629222038232E-02   0.1423563893796255E-02   0.1419447875675594E-02   0.1484479461437165E-02   0.1578459017864797E-02   0.1688797559481248E-02   0.1873054883017152E-02   0.1291254294216250E-02   0.1507582664884419E-02   0.1991432633787834E-02   0.2617946936614379E-02   0.3418270875078152E-02   0.4429661822629473E-02   0.5695515092884329E-02   0.7265289687504116E-02   0.9194272422152911E-02
  0.3886421100201881E+08   0.1820115038076568E+08   0.1858803034156382E+07   0.4195456436765947E+05   0.6424768051847715E+03   0.3394965892502972E+03   0.2276876127528960E+03   0.1147496325227905E+03   0.4867754002820254E+02   0.1217139212522982E+02   0.4765584340109049E+01   0.2573245103262787E+01   0.9472681369275814E+00   0.1733998988388848E-01   0.1001659235044264E-02   0.9999999754121073E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378780E-03   0.9999999747378812E-03   0.9999999747378888E-03   0.9999999784654006E-03   0.1000166632125008E-02   0.1019126578084397E-02   0.1087431345469299E-02   0.1027303602493683E-02   0.1000071382954733E-02   0.9999999754914052E-03   0.9999999747428931E-03   0.9999999747480331E-03   0.9999999747582746E-03   0.9999999747785193E-03   0.9999999748182156E-03   0.9999999748954284E-03   0.9999999750444043E-03   0.9999999753295323E-03   0.9999999758708556E-03   0.9999999768903240E-03   0.9999999787949844E-03   0.9999999823258124E-03   0.9999999888242611E-03   0.1000000000718163E-02   0.1000000022455894E-02   0.1000000062509717E-02   0.1000000138394719E-02   0.1000000291168795E-02   0.1000000630671349E-02   0.1000001478126477E-02   0.1000003801432592E-02   0.1000010473006474E-02   0.1000029669532910E-02   0.1000083403334111E-02   0.1000227281450991E-02   0.1000592480094184E-02   0.1001466878563740E-02   0.1003436089514529E-02   0.1007599642749888E-02   0.1015852339106968E-02   0.1031166932240171E-02   0.1057735476278317E-02   0.1100752171589888E-02   0.1165609388054093E-02   0.1216399921565792E-02   0.1263903063996142E-02   0.1343614240028476E-02   0.1424676563814215E-02   0.1520555203663140E-02   0.1601822668491037E-02   0.1650593176567161E-02   0.1675316054813989E-02   0.1644268198612989E-02   0.1586450462682271E-02   0.1519581234775128E-02   0.1456021982949639E-02   0.1408203425187571E-02   0.1415126216801469E-02   0.1490872362281404E-02   0.1575178614493118E-02   0.1685430646698923E-02   0.1869180116388955E-02   0.1316439146975481E-02   0.1501365433113568E-02   0.1983295842847994E-02   0.2607287314207586E-02   0.3404368998104544E-02   0.4411652807327577E-02   0.5672360684053491E-02   0.7235751815786844E-02   0.9156888482915876E-02
  0.3092504338707737E+03   0.8498065843591970E+03   0.8638564633584223E+03   0.6064370109436958E+03   0.4399691984343543E+03   0.3429739493469787E+03   0.2295595674051246E+03   0.1168458572098694E+03   0.4927211815025529E+02   0.1309911408905642E+02   0.4330383994461195E+01   0.3255837674141294E+01   0.8319525879191714E+00   0.4115956410952814E-02   0.1000069207145919E-02   0.9999999747452911E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378780E-03   0.9999999747378812E-03   0.9999999747378888E-03   0.9999999838600896E-03   0.1000401452266330E-02   0.1030495605222653E-02   0.1078012359562550E-02   0.1022002017009801E-02   0.1000030847359864E-02   0.9999999748812958E-03   0.9999999747428725E-03   0.9999999747479912E-03   0.9999999747581907E-03   0.9999999747783510E-03   0.9999999748178821E-03   0.9999999748947718E-03   0.9999999750431232E-03   0.9999999753270510E-03   0.9999999758660894E-03   0.9999999768812418E-03   0.9999999787778202E-03   0.9999999822936456E-03   0.9999999887645298E-03   0.1000000000608498E-02   0.1000000022257964E-02   0.1000000062163769E-02   0.1000000137832084E-02   0.1000000290418656E-02   0.1000000630350208E-02   0.1000001481293736E-02   0.1000003819880531E-02   0.1000010546777088E-02   0.1000029922779119E-02   0.1000084192086868E-02   0.1000229554591000E-02   0.1000598591667849E-02   0.1001482264941753E-02   0.1003472427057443E-02   0.1007680218333785E-02   0.1016020174675474E-02   0.1031495408247268E-02   0.1058339585906769E-02   0.1101796272741949E-02   0.1167305233299342E-02   0.1218988335188414E-02   0.1267615493149067E-02   0.1338617091176819E-02   0.1421010143788164E-02   0.1528086326485066E-02   0.1600230892980864E-02   0.1669402587164939E-02   0.1683969291209462E-02   0.1662223265163043E-02   0.1593271470841976E-02   0.1524996354442135E-02   0.1449934531804577E-02   0.1410658876443842E-02   0.1426251240657258E-02   0.1480806799906150E-02   0.1574017433827205E-02   0.1683184230818510E-02   0.1865752498693330E-02   0.1321618378729961E-02   0.1494818853957486E-02   0.1974564486249280E-02   0.2595776256807835E-02   0.3389332772291794E-02   0.4392176497924009E-02   0.5647338039976978E-02   0.7203861937529032E-02   0.9116572690207365E-02
  0.5136461855470164E+02   0.3495481870584169E+03   0.6722833232433858E+03   0.5894269778625987E+03   0.4393362015937152E+03   0.3401323509886670E+03   0.2329272809592565E+03   0.1218485610339688E+03   0.5409346943503720E+02   0.1393821711200562E+02   0.5007332644925494E+01   0.2692600280446678E+01   0.1295285512811028E+01   0.7003146495757523E-01   0.1016442483585655E-02   0.1000000009872174E-02   0.9999999747378754E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378780E-03   0.9999999747378812E-03   0.9999999747378888E-03   0.9999999880724367E-03   0.1000645253490957E-02   0.1046864656223666E-02   0.1060562457806413E-02   0.1023015666330526E-02   0.1000088460956280E-02   0.9999999763987040E-03   0.9999999747428521E-03   0.9999999747479494E-03   0.9999999747581062E-03   0.9999999747781819E-03   0.9999999748175449E-03   0.9999999748941054E-03   0.9999999750418180E-03   0.9999999753245157E-03   0.9999999758612038E-03   0.9999999768719060E-03   0.9999999787601299E-03   0.9999999822604348E-03   0.9999999887028914E-03   0.1000000000496102E-02   0.1000000022060007E-02   0.1000000061842955E-02   0.1000000137429537E-02   0.1000000290438949E-02   0.1000000633301646E-02   0.1000001497239230E-02   0.1000003884834584E-02   0.1000010779156046E-02   0.1000030684036750E-02   0.1000086510397026E-02   0.1000236158746932E-02   0.1000616238664273E-02   0.1001526554160347E-02   0.1003576893895339E-02   0.1007911880974195E-02   0.1016503242076870E-02   0.1032442683994120E-02   0.1060086560409550E-02   0.1104826341321779E-02   0.1172248137929222E-02   0.1226572012183229E-02   0.1278558726011602E-02   0.1353468790632377E-02   0.1439966829973459E-02   0.1540841851146520E-02   0.1625918097119202E-02   0.1676666764210376E-02   0.1701171316815593E-02   0.1667722515479462E-02   0.1605707190802047E-02   0.1533486568119697E-02   0.1464143611661199E-02   0.1420732735695822E-02   0.1432660660948228E-02   0.1484158566268473E-02   0.1564886718095989E-02   0.1681998960230747E-02   0.1862734788756032E-02   0.1306769959982050E-02   0.1487930523212130E-02   0.1965231771596145E-02   0.2583409982126318E-02   0.3373159894792433E-02   0.4371231262021709E-02   0.5620445837643056E-02   0.7169618947001908E-02   0.9073324233489971E-02
  0.6110739052399171E+01   0.1076822873902618E+03   0.4302055868395519E+03   0.5536177467887189E+03   0.4410308521702532E+03   0.3371570860710988E+03   0.2316827856240234E+03   0.1319530345568957E+03   0.5957682833530883E+02   0.1728861771451817E+02   0.5116462478871388E+01   0.3154245609663746E+01   0.7802586082911447E+00   0.6147152278553333E+00   0.8530075388438845E-02   0.1000276216126714E-02   0.9999999747583126E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378888E-03   0.9999999891232539E-03   0.1000785736967318E-02   0.1064560754627070E-02   0.1044669532829379E-02   0.1024867456197745E-02   0.1000449161050023E-02   0.1000000019472250E-02   0.9999999747428519E-03   0.9999999747479077E-03   0.9999999747580214E-03   0.9999999747780115E-03   0.9999999748172041E-03   0.9999999748934300E-03   0.9999999750404903E-03   0.9999999753219275E-03   0.9999999758562019E-03   0.9999999768623197E-03   0.9999999787419205E-03   0.9999999822261909E-03   0.9999999886393654E-03   0.1000000000381022E-02   0.1000000021862199E-02   0.1000000061548172E-02   0.1000000137191717E-02   0.1000000291252159E-02   0.1000000639626316E-02   0.1000001526379290E-02   0.1000003997890087E-02   0.1000011175820384E-02   0.1000031972099841E-02   0.1000090416219562E-02   0.1000247260526690E-02   0.1000645867821652E-02   0.1001600863752536E-02   0.1003752098002796E-02   0.1008300306846748E-02   0.1017313056399345E-02   0.1034030513378057E-02   0.1063014617889681E-02   0.1109904692697470E-02   0.1170532127276996E-02   0.1229281661994983E-02   0.1276899023874322E-02   0.1358360623424525E-02   0.1461741459761460E-02   0.1578989435897711E-02   0.1658990244040000E-02   0.1722399913154457E-02   0.1736827464063507E-02   0.1710563830334817E-02   0.1633468448774876E-02   0.1564709967236934E-02   0.1488294165901907E-02   0.1438092504580724E-02   0.1434069697267065E-02   0.1470702593690111E-02   0.1557621201299074E-02   0.1681761257962804E-02   0.1840053102464159E-02   0.1301847366883764E-02   0.1480670757412257E-02   0.1955276933861296E-02   0.2570171189888548E-02   0.3355832973679332E-02   0.4348797313227750E-02   0.5591660320764485E-02   0.7132993916453268E-02   0.9027107986167111E-02
  0.4369758978909130E+00   0.2177559850879909E+02   0.2038550434508839E+03   0.4586589222093069E+03   0.4430412090163119E+03   0.3391657630503044E+03   0.2288239725132066E+03   0.1424758219552451E+03   0.6697238648447171E+02   0.2256433616828411E+02   0.6075485516934854E+01   0.2930344984664850E+01   0.9266320662605375E+00   0.6267394769769066E+00   0.2722096770135510E+00   0.1569737122245289E-02   0.1000001899067597E-02   0.9999999747378821E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378888E-03   0.9999999877177610E-03   0.1000792699510692E-02   0.1079349687579265E-02   0.1039768433845916E-02   0.1021803516901571E-02   0.1001743759379366E-02   0.1000000925902351E-02   0.9999999747456205E-03   0.9999999747478661E-03   0.9999999747579368E-03   0.9999999747778397E-03   0.9999999748168599E-03   0.9999999748927454E-03   0.9999999750391400E-03   0.9999999753192881E-03   0.9999999758510852E-03   0.9999999768524864E-03   0.9999999787231970E-03   0.9999999821909218E-03   0.9999999885739652E-03   0.1000000000263306E-02   0.1000000021664808E-02   0.1000000061280976E-02   0.1000000137126932E-02   0.1000000292898646E-02   0.1000000649504130E-02   0.1000001569454315E-02   0.1000004161871797E-02   0.1000011746787217E-02   0.1000033820043151E-02   0.1000096011351226E-02   0.1000263152191677E-02   0.1000688262203888E-02   0.1001707152081145E-02   0.1004002610742458E-02   0.1008855453343763E-02   0.1018469846865098E-02   0.1036297197209023E-02   0.1067191263070506E-02   0.1117141898347131E-02   0.1182325122766599E-02   0.1237352909600934E-02   0.1292940265892983E-02   0.1383649771371017E-02   0.1496711121619715E-02   0.1602876562201958E-02   0.1709708172829447E-02   0.1776724978229163E-02   0.1790891218984865E-02   0.1760528830936949E-02   0.1686192993568964E-02   0.1588211283738752E-02   0.1501898190412054E-02   0.1462272791926994E-02   0.1450075385620455E-02   0.1460118298798641E-02   0.1551984482647123E-02   0.1682308069884389E-02   0.1837600774428111E-02   0.1306782609334179E-02   0.1472995010965090E-02   0.1944667336352764E-02   0.2556031131495507E-02   0.3337321810705915E-02   0.4324839408060919E-02   0.5560938579341645E-02   0.7093934107484564E-02   0.8977859388328889E-02
  0.1741371176757195E-01   0.2600997793984587E+01   0.6499335401036862E+02   0.3050305034933249E+03   0.4215452396418970E+03   0.3477958247975324E+03   0.2327074854436790E+03   0.1473301282212097E+03   0.7565230554672196E+02   0.3049468845389013E+02   0.7638068230936597E+01   0.3249572812486230E+01   0.1046177522510033E+01   0.4436236400293385E+00   0.5678152092679217E+00   0.1013921392947000E+00   0.1026848726377276E-02   0.9999999841771412E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378888E-03   0.9999999854731637E-03   0.1000710257635757E-02   0.1088021649564858E-02   0.1051821465067252E-02   0.1016015901276104E-02   0.1004518419208569E-02   0.1000013949305340E-02   0.9999999750297162E-03   0.9999999747478249E-03   0.9999999747578520E-03   0.9999999747776673E-03   0.9999999748165126E-03   0.9999999748920522E-03   0.9999999750377687E-03   0.9999999753165986E-03   0.9999999758458561E-03   0.9999999768424098E-03   0.9999999787039633E-03   0.9999999821546318E-03   0.9999999885066989E-03   0.1000000000143001E-02   0.1000000021468196E-02   0.1000000061043620E-02   0.1000000137247361E-02   0.1000000295437702E-02   0.1000000663199211E-02   0.1000001627550213E-02   0.1000004380919151E-02   0.1000012506726123E-02   0.1000036276277838E-02   0.1000103444724612E-02   0.1000284261153633E-02   0.1000744566502247E-02   0.1001848280611371E-02   0.1004335108318278E-02   0.1009591855118393E-02   0.1020003126119680E-02   0.1039298584755628E-02   0.1072714888294771E-02   0.1126699084695054E-02   0.1197871846687785E-02   0.1251129379229384E-02   0.1317126368921177E-02   0.1409859851251248E-02   0.1535432469731126E-02   0.1653023588094518E-02   0.1768476148130055E-02   0.1839858526178697E-02   0.1853347358564042E-02   0.1817366806506320E-02   0.1733432687792329E-02   0.1633414029979516E-02   0.1524332330859999E-02   0.1472677692996150E-02   0.1440162265424875E-02   0.1461996853535083E-02   0.1537676401638538E-02   0.1683433389864424E-02   0.1815243648623862E-02   0.1301490335807882E-02   0.1464847112870704E-02   0.1933361244284624E-02   0.2540952311340979E-02   0.3317586362205662E-02   0.4299310336099677E-02   0.5528222792598769E-02   0.7052368163234198E-02   0.8925490771562213E-02
  0.1247038992611039E-02   0.1656548973069290E+00   0.1258213336188044E+02   0.1465953638372617E+03   0.3559464707803988E+03   0.3495491210299297E+03   0.2463805484697692E+03   0.1511048341028502E+03   0.8521260964366169E+02   0.3837638840480252E+02   0.1141749058447552E+02   0.3564358497144472E+01   0.1170882378580584E+01   0.7249695425754324E+00   0.2328282131765971E+00   0.4829730186545867E+00   0.3354221078070220E-01   0.1001856840294220E-02   0.9999999747718630E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378886E-03   0.9999999835173694E-03   0.1000605444542009E-02   0.1090096737360695E-02   0.1081157336078773E-02   0.1017101571256740E-02   0.1007901053223264E-02   0.1000134736616004E-02   0.9999999944737010E-03   0.9999999747478071E-03   0.9999999747577668E-03   0.9999999747774939E-03   0.9999999748161621E-03   0.9999999748913509E-03   0.9999999750363771E-03   0.9999999753138604E-03   0.9999999758405168E-03   0.9999999768320925E-03   0.9999999786842217E-03   0.9999999821173214E-03   0.9999999884375680E-03   0.1000000000020162E-02   0.1000000021272833E-02   0.1000000060839110E-02   0.1000000137569374E-02   0.1000000298949140E-02   0.1000000681067349E-02   0.1000001702130546E-02   0.1000004660613897E-02   0.1000013475426062E-02   0.1000039406127449E-02   0.1000112917320894E-02   0.1000311164126302E-02   0.1000816324712156E-02   0.1002028106588641E-02   0.1004758582211212E-02   0.1010529064437061E-02   0.1021952537253229E-02   0.1043109565353250E-02   0.1079717163170944E-02   0.1138791379803699E-02   0.1197498214577462E-02   0.1271067454585644E-02   0.1330045243961789E-02   0.1447682375430559E-02   0.1578638831922599E-02   0.1710115077998046E-02   0.1835827062009177E-02   0.1912090993002734E-02   0.1934189845765668E-02   0.1900773686698337E-02   0.1794636832670524E-02   0.1679610380018275E-02   0.1574834900713162E-02   0.1498583973775771E-02   0.1443709743837636E-02   0.1445850472029768E-02   0.1534342339076427E-02   0.1684896381852520E-02   0.1802826559699678E-02   0.1295872783854398E-02   0.1456163100696101E-02   0.1921311055677280E-02   0.2524891598410658E-02   0.3296580133287717E-02   0.4272154917469661E-02   0.5493445092191435E-02   0.7008212066636921E-02   0.8869898626529761E-02
  0.1002222656404155E-02   0.5848222507030309E-02   0.1327509145448691E+01   0.4530327836450686E+02   0.2411757951828562E+03   0.3358752359580837E+03   0.2572141210357045E+03   0.1655073290997689E+03   0.9296820258156120E+02   0.4477020409735060E+02   0.1761255984040306E+02   0.4672277507843559E+01   0.1415941234934646E+01   0.6400469186567258E+00   0.5720877618336891E+00   0.1298174945438662E+00   0.3899094890629522E+00   0.1057924444793593E-01   0.1000080285553409E-02   0.9999999747379693E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378886E-03   0.9999999821410971E-03   0.1000524580720385E-02   0.1088082153961835E-02   0.1120372497651493E-02   0.1033667260107919E-02   0.1012071494499120E-02   0.1000900406788975E-02   0.1000000923215248E-02   0.9999999747578379E-03   0.9999999747576822E-03   0.9999999747773202E-03   0.9999999748158096E-03   0.9999999748906425E-03   0.9999999750349654E-03   0.9999999753110742E-03   0.9999999758350678E-03   0.9999999768215346E-03   0.9999999786639718E-03   0.9999999820789864E-03   0.9999999883665675E-03   0.9999999998948467E-03   0.1000000021079309E-02   0.1000000060671287E-02   0.1000000138113956E-02   0.1000000303535470E-02   0.1000000703566197E-02   0.1000001795080521E-02   0.1000005008154769E-02   0.1000014678434358E-02   0.1000043293984104E-02   0.1000124688887835E-02   0.1000344606462902E-02   0.1000905531563201E-02   0.1002251609376608E-02   0.1005284625564211E-02   0.1011692249258199E-02   0.1024369001521807E-02   0.1047826084217228E-02   0.1088366254757548E-02   0.1153692544256710E-02   0.1221617219732048E-02   0.1277742648975746E-02   0.1362434109030098E-02   0.1487978822082207E-02   0.1637236671522269E-02   0.1784988907299637E-02   0.1932403880719171E-02   0.2013762100794144E-02   0.2043394626013322E-02   0.1980366554555226E-02   0.1879132410439549E-02   0.1745949683081253E-02   0.1612503162952107E-02   0.1519145707892364E-02   0.1460001513709503E-02   0.1451123804989691E-02   0.1541584336193482E-02   0.1676430867732104E-02   0.1800180741666976E-02   0.1299825304131621E-02   0.1446875396110393E-02   0.1908466748876539E-02   0.2507803505684763E-02   0.3274253740134357E-02   0.4243314199222401E-02   0.5456532675547564E-02   0.6961375416652918E-02   0.8810971272659165E-02
  0.1000005916613377E-02   0.1042461122743548E-02   0.6867303589749919E-01   0.7981301695835418E+01   0.1150668828848508E+03   0.2903779127081751E+03   0.2629526468392368E+03   0.1805141753003798E+03   0.1051573660992039E+03   0.5185750423229020E+02   0.2308076161049198E+02   0.7136610787793263E+01   0.2269171714230483E+01   0.6504854906044018E+00   0.4338880681404956E+00   0.4580795589764708E+00   0.7962533854812480E-01   0.3037235997211578E+00   0.3637676982809676E-02   0.1000003099774721E-02   0.9999999747378754E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378752E-03   0.9999999747378754E-03   0.9999999747378754E-03   0.9999999747378756E-03   0.9999999747378765E-03   0.9999999747378778E-03   0.9999999747378810E-03   0.9999999747378886E-03   0.9999999810823459E-03   0.1000479147908861E-02   0.1085587964390286E-02   0.1155184201412626E-02   0.1070439338577724E-02   0.1023465521821498E-02   0.1004442694275581E-02   0.1000031856169062E-02   0.9999999778069219E-03   0.9999999747576009E-03   0.9999999747771461E-03   0.9999999748154550E-03   0.9999999748899265E-03   0.9999999750335349E-03   0.9999999753082418E-03   0.9999999758295113E-03   0.9999999768107372E-03   0.9999999786432109E-03   0.9999999820396186E-03   0.9999999882936868E-03   0.9999999997671205E-03   0.1000000020888347E-02   0.1000000060544920E-02   0.1000000138907260E-02   0.1000000309324720E-02   0.1000000731268553E-02   0.1000001908764401E-02   0.1000005432585671E-02   0.1000016147891906E-02   0.1000048046127230E-02   0.1000139086719340E-02   0.1000385527407356E-02   0.1001014699587789E-02   0.1002525054896913E-02   0.1005927804992646E-02   0.1013112967215057E-02   0.1027316197731558E-02   0.1053567728204013E-02   0.1098870933939230E-02   0.1171740833796067E-02   0.1230736320098280E-02   0.1301857490736724E-02   0.1405185923423692E-02   0.1541782894172301E-02   0.1702300839708644E-02   0.1888622539476729E-02   0.2038936840720284E-02   0.2135231241579256E-02   0.2140887533949334E-02   0.2085654334629946E-02   0.1956102202139511E-02   0.1811426701894986E-02   0.1656291853779234E-02   0.1533401072730509E-02   0.1458237390488985E-02   0.1467207511102747E-02   0.1528973861909602E-02   0.1667755892043217E-02   0.1787131833506107E-02   0.1303242151975128E-02   0.1436917052163204E-02   0.1894779302505726E-02   0.2489643398280873E-02   0.3250558382812173E-02   0.4212729552403013E-02   0.5417412811332747E-02   0.6911767587988604E-02   0.8748596404084024E-02
