5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000000e-01 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 2.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 2.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 3.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 3.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 4.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 4.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 6.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 6.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 7.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 7.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 8.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 8.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 9.000000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 9.500000000000000000e+00 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.000000000000000000e+01 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.050000000000000000e+01 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.100000000000000000e+01 9.999999747378751636e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.150000000000000000e+01 9.999999747378753330e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.200000000000000000e+01 9.999999747378755024e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.250000000000000000e+01 9.999999747378975252e-06
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.300000000000000000e+01 1.033679777352723920e-05
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.350000000000000000e+01 2.739619346420910095e-01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.400000000000000000e+01 1.171573673772424995e-01
