5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000000e-01 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 2.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 2.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 3.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 3.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 4.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 4.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 6.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 6.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 7.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 7.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 8.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 8.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 9.000000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 9.500000000000000000e+00 9.999999747378751636e-06 -1.151292549023235345e+01
5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 1.000000000000000000e+01 9.999999747378751636e-06 -1.151292549023235345e+01
